NyTIMESName,USCensusCountyName,State,FIPS
Klickitat,Klickitat County,Washington,53039
Knott,Knott County,Kentucky,21119
Knox,Knox County,Illinois,17095
Knox,Knox County,Indiana,18083
Knox,Knox County,Kentucky,21121
Knox,Knox County,Maine,23013
Knox,Knox County,Nebraska,31107
Knox,Knox County,Ohio,39083
Knox,Knox County,Tennessee,47093
Knox,Knox County,Texas,48275
Kodiak Island Borough,Kodiak Island Borough,Alaska,2150
Koochiching,Koochiching County,Minnesota,27071
Kootenai,Kootenai County,Idaho,16055
Kosciusko,Kosciusko County,Indiana,18085
Kossuth,Kossuth County,Iowa,19109
La Crosse,La Crosse County,Wisconsin,55063
La Paz,La Paz County,Arizona,4012
La Plata,La Plata County,Colorado,8067
La Salle,La Salle County,Texas,48283
Labette,Labette County,Kansas,20099
Lac qui Parle,Lac qui Parle County,Minnesota,27073
Lackawanna,Lackawanna County,Pennsylvania,42069
Laclede,Laclede County,Missouri,29105
Lafayette,Lafayette County,Arkansas,5073
Lafayette,Lafayette County,Florida,12067
Lafayette,Lafayette County,Mississippi,28071
Lafayette,Lafayette County,Missouri,29107
Lafayette,Lafayette County,Wisconsin,55065
Lafayette,Lafayette Parish,Louisiana,22055
Lafourche,Lafourche Parish,Louisiana,22057
LaGrange,LaGrange County,Indiana,18087
Lake,Lake County,California,6033
Lake,Lake County,Colorado,8065
Lake,Lake County,Florida,12069
Lake,Lake County,Illinois,17097
Lake,Lake County,Indiana,18089
Lake,Lake County,Michigan,26085
Lake,Lake County,Minnesota,27075
Lake,Lake County,Montana,30047
Lake,Lake County,Ohio,39085
Lake,Lake County,Oregon,41037
Lake,Lake County,South Dakota,46079
Lake,Lake County,Tennessee,47095
Lamar,Lamar County,Alabama,1075
Lamar,Lamar County,Georgia,13171
Lamar,Lamar County,Mississippi,28073
Lamar,Lamar County,Texas,48277
Lamb,Lamb County,Texas,48279
Lamoille,Lamoille County,Vermont,50015
Lampasas,Lampasas County,Texas,48281
Lancaster,Lancaster County,Nebraska,31109
Lancaster,Lancaster County,Pennsylvania,42071
Lancaster,Lancaster County,South Carolina,45057
Lancaster,Lancaster County,Virginia,51103
Lander,Lander County,Nevada,32015
Lane,Lane County,Kansas,20101
Lane,Lane County,Oregon,41039
Langlade,Langlade County,Wisconsin,55067
Lanier,Lanier County,Georgia,13173
Lapeer,Lapeer County,Michigan,26087
LaPorte,LaPorte County,Indiana,18091
Laramie,Laramie County,Wyoming,56021
Larimer,Larimer County,Colorado,8069
Larue,Larue County,Kentucky,21123
Las Animas,Las Animas County,Colorado,8071
LaSalle,LaSalle County,Illinois,17099
LaSalle,LaSalle Parish,Louisiana,22059
Lassen,Lassen County,California,6035
Latah,Latah County,Idaho,16057
Latimer,Latimer County,Oklahoma,40077
Lauderdale,Lauderdale County,Alabama,1077
Lauderdale,Lauderdale County,Mississippi,28075
Lauderdale,Lauderdale County,Tennessee,47097
Laurel,Laurel County,Kentucky,21125
Laurens,Laurens County,Georgia,13175
Laurens,Laurens County,South Carolina,45059
Lavaca,Lavaca County,Texas,48285
Lawrence,Lawrence County,Alabama,1079
Lawrence,Lawrence County,Arkansas,5075
Lawrence,Lawrence County,Illinois,17101
Lawrence,Lawrence County,Indiana,18093
Lawrence,Lawrence County,Kentucky,21127
Lawrence,Lawrence County,Mississippi,28077
Lawrence,Lawrence County,Missouri,29109
Lawrence,Lawrence County,Ohio,39087
Lawrence,Lawrence County,Pennsylvania,42073
Lawrence,Lawrence County,South Dakota,46081
Lawrence,Lawrence County,Tennessee,47099
Le Flore,Le Flore County,Oklahoma,40079
Le Sueur,Le Sueur County,Minnesota,27079
Lea,Lea County,New Mexico,35025
Leake,Leake County,Mississippi,28079
Leavenworth,Leavenworth County,Kansas,20103
Lebanon,Lebanon County,Pennsylvania,42075
Lee,Lee County,Alabama,1081
Lee,Lee County,Arkansas,5077
Lee,Lee County,Florida,12071
Lee,Lee County,Georgia,13177
Lee,Lee County,Illinois,17103
Lee,Lee County,Iowa,19111
Lee,Lee County,Kentucky,21129
Lee,Lee County,Mississippi,28081
Lee,Lee County,North Carolina,37105
Lee,Lee County,South Carolina,45061
Lee,Lee County,Texas,48287
Lee,Lee County,Virginia,51105
Leelanau,Leelanau County,Michigan,26089
Leflore,Leflore County,Mississippi,28083
Lehigh,Lehigh County,Pennsylvania,42077
Lemhi,Lemhi County,Idaho,16059
Lenawee,Lenawee County,Michigan,26091
Lenoir,Lenoir County,North Carolina,37107
Leon,Leon County,Florida,12073
Leon,Leon County,Texas,48289
Leslie,Leslie County,Kentucky,21131
Letcher,Letcher County,Kentucky,21133
Levy,Levy County,Florida,12075
Lewis,Lewis County,Kentucky,21135
Lewis,Lewis County,Missouri,29111
Lewis,Lewis County,New York,36049
Lewis,Lewis County,Tennessee,47101
Lewis,Lewis County,Washington,53041
Lewis,Lewis County,West Virginia,54041
Lewis and Clark,Lewis and Clark County,Montana,30049
Lexington,Lexington County,South Carolina,45063
Lexington city,Lexington city,Virginia,51678
Liberty,Liberty County,Florida,12077
Liberty,Liberty County,Georgia,13179
Liberty,Liberty County,Montana,30051
Liberty,Liberty County,Texas,48291
Licking,Licking County,Ohio,39089
Limestone,Limestone County,Alabama,1083
Limestone,Limestone County,Texas,48293
Lincoln,Lincoln County,Arkansas,5079
Lincoln,Lincoln County,Colorado,8073
Lincoln,Lincoln County,Georgia,13181
Lincoln,Lincoln County,Idaho,16063
Lincoln,Lincoln County,Kentucky,21137
Lincoln,Lincoln County,Maine,23015
Lincoln,Lincoln County,Minnesota,27081
Lincoln,Lincoln County,Mississippi,28085
Lincoln,Lincoln County,Missouri,29113
Lincoln,Lincoln County,Montana,30053
Lincoln,Lincoln County,Nebraska,31111
Lincoln,Lincoln County,Nevada,32017
Lincoln,Lincoln County,New Mexico,35027
Lincoln,Lincoln County,North Carolina,37109
Lincoln,Lincoln County,Oklahoma,40081
Lincoln,Lincoln County,Oregon,41041
Lincoln,Lincoln County,South Dakota,46083
Lincoln,Lincoln County,Tennessee,47103
Lincoln,Lincoln County,Washington,53043
Lincoln,Lincoln County,West Virginia,54043
Lincoln,Lincoln County,Wisconsin,55069
Lincoln,Lincoln County,Wyoming,56023
Lincoln,Lincoln Parish,Louisiana,22061
Linn,Linn County,Iowa,19113
Linn,Linn County,Kansas,20107
Linn,Linn County,Missouri,29115
Linn,Linn County,Oregon,41043
Lipscomb,Lipscomb County,Texas,48295
Litchfield,Litchfield County,Connecticut,9005
Little River,Little River County,Arkansas,5081
Live Oak,Live Oak County,Texas,48297
Livingston,Livingston County,Illinois,17105
Livingston,Livingston County,Kentucky,21139
Livingston,Livingston County,Michigan,26093
Livingston,Livingston County,Missouri,29117
Livingston,Livingston County,New York,36051
Livingston,Livingston Parish,Louisiana,22063
Llano,Llano County,Texas,48299
Logan,Logan County,Arkansas,5083
Logan,Logan County,Colorado,8075
Logan,Logan County,Illinois,17107
Logan,Logan County,Kentucky,21141
Logan,Logan County,Ohio,39091
Logan,Logan County,Oklahoma,40083
Logan,Logan County,West Virginia,54045
Long,Long County,Georgia,13183
Lonoke,Lonoke County,Arkansas,5085
Lorain,Lorain County,Ohio,39093
Los Alamos,Los Alamos County,New Mexico,35028
Los Angeles,Los Angeles County,California,6037
Loudon,Loudon County,Tennessee,47105
Loudoun,Loudoun County,Virginia,51107
Louisa,Louisa County,Iowa,19115
Louisa,Louisa County,Virginia,51109
Love,Love County,Oklahoma,40085
Lowndes,Lowndes County,Alabama,1085
Lowndes,Lowndes County,Georgia,13185
Lowndes,Lowndes County,Mississippi,28087
Lubbock,Lubbock County,Texas,48303
Lucas,Lucas County,Iowa,19117
Lucas,Lucas County,Ohio,39095
Luce,Luce County,Michigan,26095
Lumpkin,Lumpkin County,Georgia,13187
Luna,Luna County,New Mexico,35029
Lunenburg,Lunenburg County,Virginia,51111
Luzerne,Luzerne County,Pennsylvania,42079
Lycoming,Lycoming County,Pennsylvania,42081
Lyman,Lyman County,South Dakota,46085
Lynchburg city,Lynchburg city,Virginia,51680
Lynn,Lynn County,Texas,48305
Lyon,Lyon County,Iowa,19119
Lyon,Lyon County,Kansas,20111
Lyon,Lyon County,Kentucky,21143
Lyon,Lyon County,Minnesota,27083
Lyon,Lyon County,Nevada,32019
Mackinac,Mackinac County,Michigan,26097
Macomb,Macomb County,Michigan,26099
Macon,Macon County,Alabama,1087
Macon,Macon County,Georgia,13193
Macon,Macon County,Illinois,17115
Macon,Macon County,Missouri,29121
Macon,Macon County,North Carolina,37113
Macon,Macon County,Tennessee,47111
Macoupin,Macoupin County,Illinois,17117
Madera,Madera County,California,6039
Madison,Madison County,Alabama,1089
Madison,Madison County,Arkansas,5087
Madison,Madison County,Florida,12079
Madison,Madison County,Georgia,13195
Madison,Madison County,Idaho,16065
Madison,Madison County,Illinois,17119
Madison,Madison County,Indiana,18095
Madison,Madison County,Iowa,19121
Madison,Madison County,Kentucky,21151
Madison,Madison County,Mississippi,28089
Madison,Madison County,Missouri,29123
Madison,Madison County,Montana,30057
Madison,Madison County,Nebraska,31119
Madison,Madison County,New York,36053
Madison,Madison County,North Carolina,37115
Madison,Madison County,Ohio,39097
Madison,Madison County,Tennessee,47113
Madison,Madison County,Texas,48313
Madison,Madison County,Virginia,51113
Madison,Madison Parish,Louisiana,22065
Magoffin,Magoffin County,Kentucky,21153
Mahaska,Mahaska County,Iowa,19123
Mahnomen,Mahnomen County,Minnesota,27087
Mahoning,Mahoning County,Ohio,39099
Major,Major County,Oklahoma,40093
Malheur,Malheur County,Oregon,41045
Manassas city,Manassas city,Virginia,51683
Manassas Park city,Manassas Park city,Virginia,51685
Manatee,Manatee County,Florida,12081
Manistee,Manistee County,Michigan,26101
Manitowoc,Manitowoc County,Wisconsin,55071
Marathon,Marathon County,Wisconsin,55073
Marengo,Marengo County,Alabama,1091
Maricopa,Maricopa County,Arizona,4013
Maries,Maries County,Missouri,29125
Marin,Marin County,California,6041
Marinette,Marinette County,Wisconsin,55075
Marion,Marion County,Alabama,1093
Marion,Marion County,Arkansas,5089
Marion,Marion County,Florida,12083
Marion,Marion County,Georgia,13197
Marion,Marion County,Illinois,17121
Marion,Marion County,Indiana,18097
Marion,Marion County,Iowa,19125
Marion,Marion County,Kansas,20115
Marion,Marion County,Kentucky,21155
Marion,Marion County,Mississippi,28091
Marion,Marion County,Missouri,29127
Marion,Marion County,Ohio,39101
Marion,Marion County,Oregon,41047
Marion,Marion County,South Carolina,45067
Marion,Marion County,Tennessee,47115
Marion,Marion County,Texas,48315
Marion,Marion County,West Virginia,54049
Mariposa,Mariposa County,California,6043
Marlboro,Marlboro County,South Carolina,45069
Marquette,Marquette County,Michigan,26103
Marquette,Marquette County,Wisconsin,55077
Marshall,Marshall County,Alabama,1095
Marshall,Marshall County,Illinois,17123
Marshall,Marshall County,Indiana,18099
Marshall,Marshall County,Iowa,19127
Marshall,Marshall County,Kentucky,21157
Marshall,Marshall County,Minnesota,27089
Marshall,Marshall County,Mississippi,28093
Marshall,Marshall County,Oklahoma,40095
Marshall,Marshall County,South Dakota,46091
Marshall,Marshall County,Tennessee,47117
Marshall,Marshall County,West Virginia,54051
Martin,Martin County,Florida,12085
Martin,Martin County,Indiana,18101
Martin,Martin County,Kentucky,21159
Martin,Martin County,Minnesota,27091
Martin,Martin County,North Carolina,37117
Martin,Martin County,Texas,48317
Mason,Mason County,Illinois,17125
Mason,Mason County,Kentucky,21161
Mason,Mason County,Michigan,26105
Mason,Mason County,Texas,48319
Mason,Mason County,Washington,53045
Mason,Mason County,West Virginia,54053
Massac,Massac County,Illinois,17127
Matagorda,Matagorda County,Texas,48321
Matanuska-Susitna Borough,Matanuska-Susitna Borough,Alaska,2170
Mathews,Mathews County,Virginia,51115
Maui,Maui County,Hawaii,15009
Maury,Maury County,Tennessee,47119
Maverick,Maverick County,Texas,48323
Mayes,Mayes County,Oklahoma,40097
McClain,McClain County,Oklahoma,40087
McCook,McCook County,South Dakota,46087
McCormick,McCormick County,South Carolina,45065
McCracken,McCracken County,Kentucky,21145
McCreary,McCreary County,Kentucky,21147
McCulloch,McCulloch County,Texas,48307
McCurtain,McCurtain County,Oklahoma,40089
McDonald,McDonald County,Missouri,29119
McDonough,McDonough County,Illinois,17109
McDowell,McDowell County,North Carolina,37111
McDowell,McDowell County,West Virginia,54047
McDuffie,McDuffie County,Georgia,13189
McHenry,McHenry County,Illinois,17111
McHenry,McHenry County,North Dakota,38049
McIntosh,McIntosh County,Georgia,13191
McIntosh,McIntosh County,North Dakota,38051
McIntosh,McIntosh County,Oklahoma,40091
McKean,McKean County,Pennsylvania,42083
McKenzie,McKenzie County,North Dakota,38053
McKinley,McKinley County,New Mexico,35031
McLean,McLean County,Illinois,17113
McLean,McLean County,Kentucky,21149
McLean,McLean County,North Dakota,38055
McLennan,McLennan County,Texas,48309
McLeod,McLeod County,Minnesota,27085
McMinn,McMinn County,Tennessee,47107
McNairy,McNairy County,Tennessee,47109
McPherson,McPherson County,Kansas,20113
McPherson,McPherson County,South Dakota,46089
Meade,Meade County,Kansas,20119
Meade,Meade County,Kentucky,21163
Meade,Meade County,South Dakota,46093
Meagher,Meagher County,Montana,30059
Mecklenburg,Mecklenburg County,North Carolina,37119
Mecklenburg,Mecklenburg County,Virginia,51117
Mecosta,Mecosta County,Michigan,26107
Medina,Medina County,Ohio,39103
Medina,Medina County,Texas,48325
Meeker,Meeker County,Minnesota,27093
Meigs,Meigs County,Ohio,39105
Meigs,Meigs County,Tennessee,47121
Menard,Menard County,Illinois,17129
Mendocino,Mendocino County,California,6045
Menifee,Menifee County,Kentucky,21165
Menominee,Menominee County,Michigan,26109
Menominee,Menominee County,Wisconsin,55078
Merced,Merced County,California,6047
Mercer,Mercer County,Illinois,17131
Mercer,Mercer County,Kentucky,21167
Mercer,Mercer County,Missouri,29129
Mercer,Mercer County,New Jersey,34021
Mercer,Mercer County,North Dakota,38057
Mercer,Mercer County,Ohio,39107
Mercer,Mercer County,Pennsylvania,42085
Mercer,Mercer County,West Virginia,54055
Meriwether,Meriwether County,Georgia,13199
Merrick,Merrick County,Nebraska,31121
Merrimack,Merrimack County,New Hampshire,33013
Mesa,Mesa County,Colorado,8077
Metcalfe,Metcalfe County,Kentucky,21169
Miami,Miami County,Indiana,18103
Miami,Miami County,Kansas,20121
Miami,Miami County,Ohio,39109
Miami-Dade,Miami-Dade County,Florida,12086
Middlesex,Middlesex County,Connecticut,9007
Middlesex,Middlesex County,Massachusetts,25017
Middlesex,Middlesex County,New Jersey,34023
Middlesex,Middlesex County,Virginia,51119
Midland,Midland County,Michigan,26111
Midland,Midland County,Texas,48329
Mifflin,Mifflin County,Pennsylvania,42087
Milam,Milam County,Texas,48331
Millard,Millard County,Utah,49027
Mille Lacs,Mille Lacs County,Minnesota,27095
Miller,Miller County,Arkansas,5091
Miller,Miller County,Georgia,13201
Miller,Miller County,Missouri,29131
Mills,Mills County,Iowa,19129
Mills,Mills County,Texas,48333
Milwaukee,Milwaukee County,Wisconsin,55079
Miner,Miner County,South Dakota,46097
Mineral,Mineral County,Colorado,8079
Mineral,Mineral County,Nevada,32021
Mineral,Mineral County,West Virginia,54057
Mingo,Mingo County,West Virginia,54059
Minidoka,Minidoka County,Idaho,16067
Minnehaha,Minnehaha County,South Dakota,46099
Missaukee,Missaukee County,Michigan,26113
Mississippi,Mississippi County,Arkansas,5093
Mississippi,Mississippi County,Missouri,29133
Missoula,Missoula County,Montana,30063
Mitchell,Mitchell County,Georgia,13205
Mitchell,Mitchell County,Iowa,19131
Mitchell,Mitchell County,Kansas,20123
Mitchell,Mitchell County,North Carolina,37121
Mitchell,Mitchell County,Texas,48335
Mobile,Mobile County,Alabama,1097
Moffat,Moffat County,Colorado,8081
Mohave,Mohave County,Arizona,4015
Moniteau,Moniteau County,Missouri,29135
Monmouth,Monmouth County,New Jersey,34025
Mono,Mono County,California,6051
Monona,Monona County,Iowa,19133
Monongalia,Monongalia County,West Virginia,54061
Monroe,Monroe County,Alabama,1099
Monroe,Monroe County,Arkansas,5095
Monroe,Monroe County,Florida,12087
Monroe,Monroe County,Georgia,13207
Monroe,Monroe County,Illinois,17133
Monroe,Monroe County,Indiana,18105
Monroe,Monroe County,Iowa,19135
Monroe,Monroe County,Kentucky,21171
Monroe,Monroe County,Michigan,26115
Monroe,Monroe County,Mississippi,28095
Monroe,Monroe County,Missouri,29137
Monroe,Monroe County,New York,36055
Monroe,Monroe County,Ohio,39111
Monroe,Monroe County,Pennsylvania,42089
Monroe,Monroe County,Tennessee,47123
Monroe,Monroe County,West Virginia,54063
Monroe,Monroe County,Wisconsin,55081
Montague,Montague County,Texas,48337
Montcalm,Montcalm County,Michigan,26117
Monterey,Monterey County,California,6053
Montezuma,Montezuma County,Colorado,8083
Montgomery,Montgomery County,Alabama,1101
Montgomery,Montgomery County,Arkansas,5097
Montgomery,Montgomery County,Georgia,13209
Montgomery,Montgomery County,Illinois,17135
Montgomery,Montgomery County,Indiana,18107
Montgomery,Montgomery County,Iowa,19137
Montgomery,Montgomery County,Kansas,20125
Montgomery,Montgomery County,Kentucky,21173
Montgomery,Montgomery County,Maryland,24031
Montgomery,Montgomery County,Mississippi,28097
Montgomery,Montgomery County,Missouri,29139
Montgomery,Montgomery County,New York,36057
Montgomery,Montgomery County,North Carolina,37123
Montgomery,Montgomery County,Ohio,39113
Montgomery,Montgomery County,Pennsylvania,42091
Montgomery,Montgomery County,Tennessee,47125
Montgomery,Montgomery County,Texas,48339
Montgomery,Montgomery County,Virginia,51121
Montmorency,Montmorency County,Michigan,26119
Montour,Montour County,Pennsylvania,42093
Montrose,Montrose County,Colorado,8085
Moody,Moody County,South Dakota,46101
Moore,Moore County,North Carolina,37125
Moore,Moore County,Tennessee,47127
Moore,Moore County,Texas,48341
Morehouse,Morehouse Parish,Louisiana,22067
Morgan,Morgan County,Alabama,1103
Morgan,Morgan County,Colorado,8087
Morgan,Morgan County,Georgia,13211
Morgan,Morgan County,Illinois,17137
Morgan,Morgan County,Indiana,18109
Morgan,Morgan County,Kentucky,21175
Morgan,Morgan County,Missouri,29141
Morgan,Morgan County,Ohio,39115
Morgan,Morgan County,Tennessee,47129
Morgan,Morgan County,Utah,49029
Morgan,Morgan County,West Virginia,54065
Morrill,Morrill County,Nebraska,31123
Morris,Morris County,Kansas,20127
Morris,Morris County,New Jersey,34027
Morris,Morris County,Texas,48343
Morrison,Morrison County,Minnesota,27097
Morrow,Morrow County,Ohio,39117
Morrow,Morrow County,Oregon,41049
Morton,Morton County,Kansas,20129
Morton,Morton County,North Dakota,38059
Motley,Motley County,Texas,48345
Moultrie,Moultrie County,Illinois,17139
Mountrail,Mountrail County,North Dakota,38061
Mower,Mower County,Minnesota,27099
Muhlenberg,Muhlenberg County,Kentucky,21177
Multnomah,Multnomah County,Oregon,41051
Murray,Murray County,Georgia,13213
Murray,Murray County,Minnesota,27101
Murray,Murray County,Oklahoma,40099
Muscatine,Muscatine County,Iowa,19139
Muscogee,Muscogee County,Georgia,13215
Muskegon,Muskegon County,Michigan,26121
Muskingum,Muskingum County,Ohio,39119
Muskogee,Muskogee County,Oklahoma,40101
Musselshell,Musselshell County,Montana,30065
Nacogdoches,Nacogdoches County,Texas,48347
Nance,Nance County,Nebraska,31125
Nantucket,Nantucket County,Massachusetts,25019
Napa,Napa County,California,6055
Nash,Nash County,North Carolina,37127
Nassau,Nassau County,Florida,12089
Nassau,Nassau County,New York,36059
Natchitoches,Natchitoches Parish,Louisiana,22069
Natrona,Natrona County,Wyoming,56025
Navajo,Navajo County,Arizona,4017
Navarro,Navarro County,Texas,48349
Nelson,Nelson County,Kentucky,21179
Nelson,Nelson County,North Dakota,38063
Nelson,Nelson County,Virginia,51125
Nemaha,Nemaha County,Kansas,20131
Nemaha,Nemaha County,Nebraska,31127
Neosho,Neosho County,Kansas,20133
Neshoba,Neshoba County,Mississippi,28099
Ness,Ness County,Kansas,20135
Nevada,Nevada County,Arkansas,5099
Nevada,Nevada County,California,6057
New Castle,New Castle County,Delaware,10003
New Hanover,New Hanover County,North Carolina,37129
New Haven,New Haven County,Connecticut,9009
New Kent,New Kent County,Virginia,51127
New London,New London County,Connecticut,9011
New Madrid,New Madrid County,Missouri,29143
Newaygo,Newaygo County,Michigan,26123
Newberry,Newberry County,South Carolina,45071
Newport,Newport County,Rhode Island,44005
Newport News city,Newport News city,Virginia,51700
Newton,Newton County,Arkansas,5101
Newton,Newton County,Georgia,13217
Newton,Newton County,Indiana,18111
Newton,Newton County,Mississippi,28101
Newton,Newton County,Missouri,29145
Newton,Newton County,Texas,48351
Nez Perce,Nez Perce County,Idaho,16069
Niagara,Niagara County,New York,36063
Nicholas,Nicholas County,Kentucky,21181
Nicholas,Nicholas County,West Virginia,54067
Nicollet,Nicollet County,Minnesota,27103
Niobrara,Niobrara County,Wyoming,56027
Noble,Noble County,Indiana,18113
Noble,Noble County,Ohio,39121
Noble,Noble County,Oklahoma,40103
Nobles,Nobles County,Minnesota,27105
Nodaway,Nodaway County,Missouri,29147
Nolan,Nolan County,Texas,48353
Nome Census Area,Nome Census Area,Alaska,2180
Norfolk,Norfolk County,Massachusetts,25021
Norfolk city,Norfolk city,Virginia,51710
Norman,Norman County,Minnesota,27107
North Slope Borough,North Slope Borough,Alaska,2185
Northampton,Northampton County,North Carolina,37131
Northampton,Northampton County,Pennsylvania,42095
Northampton,Northampton County,Virginia,51131
Northumberland,Northumberland County,Pennsylvania,42097
Northumberland,Northumberland County,Virginia,51133
Northwest Arctic Borough,Northwest Arctic Borough,Alaska,2188
Norton,Norton County,Kansas,20137
Norton city,Norton city,Virginia,51720
Nottoway,Nottoway County,Virginia,51135
Nowata,Nowata County,Oklahoma,40105
Noxubee,Noxubee County,Mississippi,28103
Nuckolls,Nuckolls County,Nebraska,31129
Nueces,Nueces County,Texas,48355
Nye,Nye County,Nevada,32023
Oakland,Oakland County,Michigan,26125
Obion,Obion County,Tennessee,47131
O'Brien,O'Brien County,Iowa,19141
Ocean,Ocean County,New Jersey,34029
Oceana,Oceana County,Michigan,26127
Ochiltree,Ochiltree County,Texas,48357
Oconee,Oconee County,Georgia,13219
Oconee,Oconee County,South Carolina,45073
Oconto,Oconto County,Wisconsin,55083
Ogemaw,Ogemaw County,Michigan,26129
Oglala Lakota,Oglala Lakota County,South Dakota,46102
Ogle,Ogle County,Illinois,17141
Oglethorpe,Oglethorpe County,Georgia,13221
Ohio,Ohio County,Indiana,18115
Ohio,Ohio County,Kentucky,21183
Ohio,Ohio County,West Virginia,54069
Okaloosa,Okaloosa County,Florida,12091
Okanogan,Okanogan County,Washington,53047
Okeechobee,Okeechobee County,Florida,12093
Okfuskee,Okfuskee County,Oklahoma,40107
Oklahoma,Oklahoma County,Oklahoma,40109
Okmulgee,Okmulgee County,Oklahoma,40111
Oktibbeha,Oktibbeha County,Mississippi,28105
Oldham,Oldham County,Kentucky,21185
Oldham,Oldham County,Texas,48359
Oliver,Oliver County,North Dakota,38065
Olmsted,Olmsted County,Minnesota,27109
Oneida,Oneida County,New York,36065
Oneida,Oneida County,Wisconsin,55085
Onondaga,Onondaga County,New York,36067
Onslow,Onslow County,North Carolina,37133
Ontario,Ontario County,New York,36069
Orange,Orange County,California,6059
Orange,Orange County,Florida,12095
Orange,Orange County,Indiana,18117
Orange,Orange County,New York,36071
Orange,Orange County,North Carolina,37135
Orange,Orange County,Texas,48361
Orange,Orange County,Vermont,50017
Orange,Orange County,Virginia,51137
Orangeburg,Orangeburg County,South Carolina,45075
Oregon,Oregon County,Missouri,29149
Orleans,Orleans County,New York,36073
Orleans,Orleans County,Vermont,50019
Orleans,Orleans Parish,Louisiana,22071
Osage,Osage County,Kansas,20139
Osage,Osage County,Missouri,29151
Osage,Osage County,Oklahoma,40113
Osborne,Osborne County,Kansas,20141
Osceola,Osceola County,Florida,12097
Osceola,Osceola County,Iowa,19143
Osceola,Osceola County,Michigan,26133
Oscoda,Oscoda County,Michigan,26135
Oswego,Oswego County,New York,36075
Otero,Otero County,Colorado,8089
Otero,Otero County,New Mexico,35035
Otoe,Otoe County,Nebraska,31131
Otsego,Otsego County,Michigan,26137
Otsego,Otsego County,New York,36077
Ottawa,Ottawa County,Kansas,20143
Ottawa,Ottawa County,Michigan,26139
Ottawa,Ottawa County,Ohio,39123
Ottawa,Ottawa County,Oklahoma,40115
Otter Tail,Otter Tail County,Minnesota,27111
Ouachita,Ouachita County,Arkansas,5103
Ouachita,Ouachita Parish,Louisiana,22073
Ouray,Ouray County,Colorado,8091
Outagamie,Outagamie County,Wisconsin,55087
Overton,Overton County,Tennessee,47133
Owen,Owen County,Indiana,18119
Owen,Owen County,Kentucky,21187
Owsley,Owsley County,Kentucky,21189
Owyhee,Owyhee County,Idaho,16073
Oxford,Oxford County,Maine,23017
Ozaukee,Ozaukee County,Wisconsin,55089
Pacific,Pacific County,Washington,53049
Page,Page County,Iowa,19145
Page,Page County,Virginia,51139
Palm Beach,Palm Beach County,Florida,12099
Palo Alto,Palo Alto County,Iowa,19147
Palo Pinto,Palo Pinto County,Texas,48363
Pamlico,Pamlico County,North Carolina,37137
Panola,Panola County,Mississippi,28107
Panola,Panola County,Texas,48365
Park,Park County,Colorado,8093
Park,Park County,Montana,30067
Park,Park County,Wyoming,56029
Parke,Parke County,Indiana,18121
Parker,Parker County,Texas,48367
Parmer,Parmer County,Texas,48369
Pasco,Pasco County,Florida,12101
Pasquotank,Pasquotank County,North Carolina,37139
Passaic,Passaic County,New Jersey,34031
Patrick,Patrick County,Virginia,51141
Paulding,Paulding County,Georgia,13223
Paulding,Paulding County,Ohio,39125
Pawnee,Pawnee County,Oklahoma,40117
Payette,Payette County,Idaho,16075
Payne,Payne County,Oklahoma,40119
Peach,Peach County,Georgia,13225
Pearl River,Pearl River County,Mississippi,28109
Pecos,Pecos County,Texas,48371
Pembina,Pembina County,North Dakota,38067
Pemiscot,Pemiscot County,Missouri,29155
Pend Oreille,Pend Oreille County,Washington,53051
Pender,Pender County,North Carolina,37141
Pendleton,Pendleton County,Kentucky,21191
Pendleton,Pendleton County,West Virginia,54071
Pennington,Pennington County,Minnesota,27113
Pennington,Pennington County,South Dakota,46103
Penobscot,Penobscot County,Maine,23019
Peoria,Peoria County,Illinois,17143
Pepin,Pepin County,Wisconsin,55091
Perquimans,Perquimans County,North Carolina,37143
Perry,Perry County,Alabama,1105
Perry,Perry County,Arkansas,5105
Perry,Perry County,Illinois,17145
Perry,Perry County,Indiana,18123
Perry,Perry County,Kentucky,21193
Perry,Perry County,Mississippi,28111
Perry,Perry County,Missouri,29157
Perry,Perry County,Ohio,39127
Perry,Perry County,Pennsylvania,42099
Perry,Perry County,Tennessee,47135
Pershing,Pershing County,Nevada,32027
Person,Person County,North Carolina,37145
Petersburg Borough,Petersburg Borough,Alaska,2195
Petersburg city,Petersburg city,Virginia,51730
Pettis,Pettis County,Missouri,29159
Phelps,Phelps County,Missouri,29161
Phelps,Phelps County,Nebraska,31137
Philadelphia,Philadelphia County,Pennsylvania,42101
Phillips,Phillips County,Arkansas,5107
Phillips,Phillips County,Colorado,8095
Phillips,Phillips County,Kansas,20147
Piatt,Piatt County,Illinois,17147
Pickaway,Pickaway County,Ohio,39129
Pickens,Pickens County,Alabama,1107
Pickens,Pickens County,Georgia,13227
Pickens,Pickens County,South Carolina,45077
Pickett,Pickett County,Tennessee,47137
Pierce,Pierce County,Georgia,13229
Pierce,Pierce County,Nebraska,31139
Pierce,Pierce County,North Dakota,38069
Pierce,Pierce County,Washington,53053
Pierce,Pierce County,Wisconsin,55093
Pike,Pike County,Alabama,1109
Pike,Pike County,Arkansas,5109
Pike,Pike County,Georgia,13231
Pike,Pike County,Illinois,17149
Pike,Pike County,Indiana,18125
Pike,Pike County,Kentucky,21195
